Country,Num_of_startups
China,174
United States,636
Australia,8
United Kingdom,46
Bahamas,1
India,70
Indonesia,7
Germany,29
Turkey,3
Hong Kong,7
Seychelles,1
Sweden,8
Mexico,8
Estonia,2
Canada,19
Netherlands,7
France,24
Israel,22
Finland,4
Colombia,3
Belgium,3
Brazil,17
South Korea,17
Denmark,2
Switzerland,6
Lithuania,2
Austria,2
Ireland,6
Singapore,13
Vietnam,2
United Arab Emirates,3
Argentina,1
Spain,4
Japan,6
Luxembourg,1
Nigeria,1
Philippines,2
Croatia,2
Senegal,1
Malaysia,1
Bermuda,1
Norway,5
South Africa,2
Ecuador,1
Chile,2
Thailand,2
Czech Republic,1
Italy,1
